,index,tweet,mark
0,3,Crash on I-295 southbound South of Exit 29 - US 30 (Haddon Heights) right lane closed 5-10 minute delay use caution   ,0
1,4,"Construction, bridge painting on Atlantic City Expressway westbound between East of Exit 12 - US 40 - Wrangleboro Rd (Hamilton Twp) and West of Exit 12 - US 40 - Wrangleboro Rd (Hamilton Twp) right lane and shoulder closed u   ",0
2,8,Roadwork on New Jersey Turnpike inner roadway northbound from Interchange 6 - Pennsylvania Turnpike (Mansfield Twp) ramp closed and detoured until 5:00 A.M.   ,0
3,9,Crash on I-76 eastbound at Exit 2 - I-676 (Camden) right shoulder closed use caution   ,0
4,19,Roadwork on New Jersey Turnpike inner roadway Southbound between North of Interchange 14 - I-78/US 1&9 (Newark) and South of Interchange 6 - Pennsylvania Turnpike (Mansfield Twp) all lanes closed until 5:00 A.M.   ,0
5,22,Roadwork on New Jersey Turnpike inner roadway Northbound between Inner and Outer Roadway Merge (Mansfield Twp) and North of Interchange 14 - I-78/US 1&9 (Newark) all lanes closed until 5:00 A.M.   ,0
6,26,Crash on I-76 eastbound at Exit 2 - I-676 (Camden) right shoulder closed 5-10 minute delay use caution   ,0
7,45,Emergency maintenance on New Jersey Turnpike inner roadway southbound ramp to Interchange 10 - NJ 440/I-287 (Edison Twp) exit ramp partially closed.   ,0
8,54,Crash on I-76 eastbound at Exit 2 - I-676 (Camden) right shoulder closed 5-10 minute delay use caution   ,0
9,58,Crash on I-78 westbound West of Exit 44 - CR 527/Glenside Ave (Berkeley Heights Twp) left lane closed 10-15 minute delay   ,0
10,60,Crash on I-78 westbound West of Exit 43 - CR 655/Diamond Hill Rd (Berkeley Heights Twp) left lane closed 10-15 minute delay   ,0
11,61,Crash on I-78 westbound West of Exit 44 - CR 527/Glenside Ave (Berkeley Heights Twp) left lane closed 10-15 minute delay   ,0
12,62,Crash on I-295 northbound South of Exit 28 - NJ 168/Black Horse Pike (Bellmawr) right shoulder closed use caution   ,0
13,69,Crash on I-76 eastbound at Exit 2 - I-676 (Camden) right lane closed 5-10 minute delay use caution   ,0
14,82,Disabled vehicle on NJ 42 southbound at Exit 8 - CR 534/Clementon Blackwood Rd (Gloucester Twp) partial ramp closure 5-10 minute delay use caution   ,0
15,93,"Emergency construction, emergency repairs on I-287 southbound at New Jersey Turnpike (Edison Twp) right lane of 5 lanes closed for repairs 5 minute delay   ",0
16,97,Crash with Injuries on I-195 eastbound East of Exit 2 - CR 524 (Hamilton Twp) right lane closed 10-15 minute delay use caution   ,0
17,98,Crash with Injuries on I-195 eastbound East of Exit 2 - CR 524 (Hamilton Twp) right lane closed 10-15 minute delay use caution   ,0
18,125,Crash on I-280 eastbound West of Exit 8 - CR 577 (West Orange Twp) left lane closed 10 minute delay   ,0
19,170,Crash on NJ 29 northbound at NJ 129 (Hamilton Twp) right lane closed 5-10 minute delay use caution   ,0
20,190,Crash on I-295 southbound North of Exit 28 - NJ 168/Black Horse Pike (Haddon Heights) left shoulder closed use caution   ,0
21,191,Crash on NJ 29 northbound at NJ 129 (Hamilton Twp) right lane closed 5-10 minute delay use caution   ,0
22,245,"Construction, bridge construction on George Washington Bridge westbound New York Side/Lower Level (Manhattan) to New Jersey Side/Lower Level (Fort Lee) right lane closed   ",0
23,246,"Construction, bridge construction on George Washington Bridge westbound Lower Trans Manhattan Expressway (Manhattan) to New York Side/Lower Level (Manhattan) left lane closed   ",0
24,254,"Emergency construction, emergency repairs on I-287 southbound at New Jersey Turnpike (Edison Twp) 2 right lanes of 5 lanes closed use caution   ",0
25,255,Emergency construction on I-287 southbound at New Jersey Turnpike (Edison Twp) 2 right lanes of 5 lanes closed   ,0
26,269,Crash on I-80 eastbound East of Exit 43 - I-287 (Parsippany-Troy Hills Twp) right lane closed 5 minute delay   ,0
27,271,"Construction, construction on NJ 29 both directions from West Upper Ferry Rd (Ewing Twp) to NJ 175/Scenic Dr (Ewing Twp) 1 lane closed until 11:59 P.M. on November 30, 2019   ",0
28,272,"Construction, construction on NJ 175 northbound ramp to southbound I-295 (Ewing Twp) exit ramp closed and detoured until 11:59 P.M. on July 29, 2020   ",0
29,273,"Construction, construction on I-676 both directions South of Exit 5 - CR 537 (Camden) to Exit 5 - CR 537 (Camden) right shoulder closed until 11:59 P.M. on December 31, 2019   ",0
30,276,"Construction, construction on I-195 westbound at Exit 16 - CR 537/Great Adventure (Jackson Twp) right shoulder closed until 11:59 P.M. on November 15, 2019   ",0
31,279,Crash on I-287 northbound South of Exit 2 - NJ 27 (Edison Twp) left lane closed 5-10 minute delay   ,0
32,280,Debris spill on I-295 northbound South of Exit 52 - Columbus Rd (Florence Twp) center lane closed 5-10 minute delay use caution   ,0
33,281,Crash on I-287 northbound South of Exit 2 - NJ 27 (Edison Twp) left lane closed 5 minute delay   ,0
34,285,"Construction, bridge construction on George Washington Bridge eastbound New York Side/Lower Level (Manhattan) to Lower Trans Manhattan Expressway (Manhattan) right lane closed until 3:30 P.M.   ",0
